;Ano;Nome do Evento;Edição do Evento;Cidade;País do Evento;Total de Amostras;Países Participantes;Data do Evento;Total de Prêmios;pais;continente
64;2013;Vinalies Internationales;19;Paris;Franca;3425.0;43.0;1º a 5 de março;6;Franca;Europa
65;2013;Concurso do Espumante Brasileiro;8;Garibaldi;Brasil;259.0;1.0;16 e 17 de outubro;83;Brasil;America do Sul
66;2014;Effervescents du Monde;12;Dijon;Franca;606.0;24.0;18 a 20 de novembro;12;Franca;Europa
67;2014;La Mujer Elige;11;Mendoza;Argentina;505.0;0.0;23 a 25 de outubro;42;Argentina;America do Sul
68;2014;Berliner Wine Trophy;18;Berlim;Alemanha;3528.0;32.0;24 a 27 de julho;13;Alemanha;Europa
69;2014;Internacional Wine Challenge;30;Londres;Inglaterra;13000.0;52.0;7 a 16 de abril;27;Inglaterra;Europa
70;2014;VINUS - Concurso Internacional de Vinos y Licores;11;Mendoza;Argentina;450.0;17.0;7 e 8 de agosto;38;Argentina;America do Sul
71;2014;Muscats du Monde;14;Languedoc Roussillon;Franca;208.0;23.0;2 e 3 de julho;8;Franca;Europa
72;2014;San Francisco International Wine Competition;34;San Francisco;Estados Unidos;4569.0;31.0;22 e 23 de junho;18;Estados Unidos;America do Norte
73;2014;Concours Mondial de Bruxelles;20;Bruxelas;Belgica;8060.0;41.0;2 a 4 de maio;1;Belgica;Europa
74;2014;VinAgora International Wine Competition;15;Tarcal;Hungria;582.0;18.0;12 a 15 de junho;6;Hungria;Europa
75;2014;Sélections Mondiales des Vins;22;Quebec;Canada;1738.0;28.0;30 de maio a 4 de junho;6;Canada;America do Norte
76;2014;Citadelles Du Vin;14;Burdeos;Franca;1200.0;0.0;17 a 19 de maio;10;Franca;Europa
77;2014;Concurso Internacional de Vinhos do Brasil;7;Bento Gonçalves;Brasil;709.0;18.0;8 a 11 de abril;212;Brasil;America do Sul
78;2014;Mondial du Merlot et Assemblages;7;Sierre;Suica;420.0;18.0;24 a 27 de abril;1;Suica;Europa
79;2014;Vinitaly;48;Verona;Italia;2557.0;30.0;26 a 30 de março;6;Italia;Europa
80;2014;Challenge International du Vin;38;Bourg-sur-Gironde;Franca;5000.0;38.0;4 e 5 de abril;5;Franca;Europa
81;2014;Chardonnay du Monde;21;Borgonha;Franca;794.0;0.0;12 a 15 de março;5;Franca;Europa
82;2014;Bacchus;12;Madri;Espanha;1593.0;20.0;14 a 18 de março;7;Espanha;Europa
83;2014;Thessaloniki International Wine and Spirits Competition;14;Thessaloniki;Grecia;533.0;5.0;3 a 5 de março;4;Grecia;Europa
84;2014;Vinalies Internationales;20;Paris;Franca;3503.0;41.0;1º a 5 de março;17;Franca;Europa
85;2014;IWSC - International Wine & Spirit Competition;2014;Londres;Inglaterra;7000.0;38.0;Março a setembro 2014;19;Inglaterra;Europa
86;2015;Effervescents du Monde;13;Dijon;Franca;622.0;26.0;18 a 20 de novembro;9;Franca;Europa
87;2015;VinAgora International Wine Competition;16;Budapeste;Hungria;549.0;18.0;11 a 14 de junho;3;Hungria;Europa
88;2015;Muscats du Monde;15;Languedoc Roussillon;Franca;230.0;20.0;1 e 2 de julho;3;Franca;Europa
89;2015;VINUS - Concurso Internacional de Vinos y Licores;12;Mendoza;Argentina;556.0;20.0;5 a 7 de agosto;26;Argentina;America do Sul
90;2015;Vinandino y Malbec al Mundo;1;Mendoza;Argentina;624.0;23.0;15 a 17 de setembro;6;Argentina;America do Sul
91;2015;La Selezione del Sindaco;14;Oeiras;Portugal;1100.0;0.0;29 a 31 de maio;1;Portugal;Europa
92;2015;Citadelles Du Vin;15;Bourg-sur-Gironde;Franca;1200.0;30.0;23 a 25 de maio;9;Franca;Europa
93;2015;Seléctions Mondiales des Vins;22;Quebec;Canada;2151.0;0.0;29 de maio a 2 de junho;2;Canada;America do Norte
94;2015;Mondial du Merlot et Assemblages;8;Sierre;Suica;440.0;25.0;24 a 26 de abril;2;Suica;Europa
